Date,Event
2025-01-01,"Israeli airstrikes across Gaza kill at least 26 Palestinians; Palestinian Authority suspends Al Jazeera's operations."
2025-01-02,"Israeli airstrike on al-Mawasi kills 11; Netanyahu's office approves delegation to Doha for ceasefire talks."
2025-01-04,"At least 70 Palestinians killed in Israeli airstrikes on Gaza City and Khan Younis."
2025-01-05,"U.S. State Department notifies Congress of planned $8 billion arms sale to Israel."
2025-01-06,"Three Israelis killed in shooting attack on Highway 55; Haredi Hasmonean Brigade formed as 50+ Haredi Jews join IDF."
2025-01-08,"Israeli airstrikes across Gaza Strip kill at least 27 people."
2025-01-09,"Israeli airstrikes kill 22 Palestinians in the Gaza Strip."
2025-01-15,"Israel and Hamas reach a diplomatic agreement to initiate a ceasefire and exchange hostages/prisoners."
2025-01-17,"Israeli cabinet approves ceasefire deal; Israeli settlers released from administrative detention."
2025-01-19,"Ceasefire begins; first Israeli hostages freed; IDF recovers body of soldier Oron Shaul."
2025-01-20,"90 Palestinian prisoners released and returned to West Bank."
2025-01-25,"Hamas releases four female soldiers; Israel releases 200 Palestinian prisoners."
2025-01-27,"Displaced Palestinians begin returning to northern Gaza."
2025-01-30,"90 hostages and 110 Palestinians freed; Hamas confirms deaths of Mohammed Deif and Marwan Issa."
2025-02-01,"Ceasefire largely holds throughout February; humanitarian access and negotiations continue."
2025-02-22,"Hamas releases six hostages, but Israel indefinitely delays the release of 620 Palestinian prisoners, citing ceasefire violations."
2025-03-18,"Israel breaks ceasefire with 'Operation Might and Sword'; 855+ Palestinians killed in strikes."
2025-03-19,"Israeli ground forces invade southern/central Gaza; Retakes Netzarim Corridor and enters Rafah."
2025-04-02,"Israeli Defense Minister authorizes expanded land occupation in Gaza."
2025-04-05,"First of several mass protests in Tel Aviv and Jerusalem over war policy."
2025-04-20,"Anti-war protests swell; families of hostages call for government accountability."
2025-05-07,"UN experts warn Israel’s actions may amount to 'annihilation' of Gaza’s population."
2025-05-18,"Israel launches broader Gaza offensive to seize land and relocate civilians."
2025-05-28,"Mass anti-government protests erupt; Likud Party HQ stormed by demonstrators."
2025-06-08,"Operation Arnon: IDF rescues 4 hostages from Nuseirat; 270+ Palestinians and 1 Israeli officer killed."
2025-06-10,"UN Security Council passes Resolution 2735 demanding ceasefire and Israeli withdrawal."
Date,Event
2025-06-13,"Israel launches 'Operation Rising Lion', conducting surprise airstrikes on Iranian nuclear facilities (Fordow, Natanz, Isfahan) and assassinating top military commanders."
2025-06-14,"Iran responds with 'Operation True Promise III', launching massive salvos of ballistic missiles and drones at Israeli military and infrastructure targets."
2025-06-18,"Israeli strikes severely damage Iranian energy infrastructure, including the Shahr Rey refinery and South Pars gas field, sharply reducing Iran's oil exports."
2025-06-21,"The U.S. directly intervenes with 'Operation Midnight Hammer', deploying B-2 stealth bombers to strike deeply buried Iranian nuclear enrichment plants."
2025-06-23,"Iran retaliates against U.S. involvement by striking the Al Udeid Air Base in Qatar, signaling a potential broader regional escalation."
2025-06-24,"A U.S.-brokered ceasefire formally comes into effect, bringing an end to the 12-Day War."
2025-07-02,"Israel orders new evacuations in Khan Younis and Rafah."
2025-07-09,"Military operations in Tulkarm/Nur Shams displace 40,000; Hamas agrees to 10-hostage release for withdrawal."
2025-07-10,"Ongoing negotiations over U.S.-brokered 60-day ceasefire; dispute over Morag Corridor remains."
2025-08-08,"Israeli cabinet decides to conquer Gaza City, overriding resistance from army leadership."
2025-08-20,"IDF mobilizes 60,000 reserve troops to take over Gaza City and orders the evacuation of Jabalia."
2025-09-15,"Netanyahu delivers 'Sparta Speech' at the International Convention Center in Jerusalem."
2025-09-26,"Prime Minister Netanyahu addresses the UN General Assembly; Israel controversially broadcasts the speech into Gaza using military loudspeakers."
2025-09-29,"U.S. President Donald Trump and PM Netanyahu reveal a 20-point peace plan for Gaza, introducing the transitional 'Board of Peace'."
2025-10-10,"A new ceasefire formally comes into effect after Israel and Hamas agree to the first phase of the U.S.-brokered peace plan."
2025-10-13,"All remaining living Israeli hostages are released by Hamas, and Israel frees nearly 2,000 Palestinian prisoners. A major peace summit is held in Egypt."
2025-10-16,"10-year-old Muhammad al-Hallaq killed by Israeli soldiers in Hebron Governorate."
2025-10-19,"42-year-old Majed Mohammad Dawoud killed during Israeli raid in Nablus."
2025-11-17,"The UN Security Council formally endorses the October peace plan and the creation of the transitional Board of Peace."
2025-11-18,"Israeli man killed and three injured in stabbing at Gush Etzion Junction; attackers killed."
2025-12-09,"21-year-old Palestinian man dies in Israeli military custody (originally detained June 2025)."
2025-12-11,"Israeli cabinet approves 19 settler outposts in the West Bank."
2025-12-13,"Senior Hamas commander Ra'ad Sa'ad killed near Gaza City; Hamas accuses Israel of ceasefire violation."
2025-12-15,"16-year-old boy killed by Israeli forces in Tuqu', Bethlehem Governorate."
2025-12-16,"16-year-old Palestinian teenager killed by an Israeli settler in Tuqu'."
2025-12-19,"Five Palestinians (including a baby) killed by Israeli soldiers in Tuffah, Gaza City."
