"Time","Krieg in Israel und Gaza seit 2023"
"2024-12-29",12
"2025-01-05",12
"2025-01-12",33
"2025-01-19",20
"2025-01-26",13
"2025-02-02",10
"2025-02-09",12
"2025-02-16",11
"2025-02-23",10
"2025-03-02",11
"2025-03-09",9
"2025-03-16",21
"2025-03-23",16
"2025-03-30",13
"2025-04-06",14
"2025-04-13",12
"2025-04-20",12
"2025-04-27",11
"2025-05-04",16
"2025-05-11",16
"2025-05-18",22
"2025-05-25",20
"2025-06-01",18
"2025-06-08",40
"2025-06-15",73
"2025-06-22",53
"2025-06-29",20
"2025-07-06",16
"2025-07-13",12
"2025-07-20",18
"2025-07-27",20
"2025-08-03",27
"2025-08-10",30
"2025-08-17",27
"2025-08-24",28
"2025-08-31",32
"2025-09-07",40
"2025-09-14",44
"2025-09-21",47
"2025-09-28",63
"2025-10-05",100
"2025-10-12",78
"2025-10-19",36
"2025-10-26",25
"2025-11-02",21
"2025-11-09",19
"2025-11-16",18
"2025-11-23",20
"2025-11-30",21
"2025-12-07",18
"2025-12-14",15
"2025-12-21",11
"2025-12-28",10
