Country,Date,Interest
Italy,2024-12-29,9.090909090909092
Italy,2025-01-05,21.21212121212121
Italy,2025-01-12,36.36363636363637
Italy,2025-01-19,12.121212121212121
Italy,2025-01-26,15.151515151515152
Italy,2025-02-02,9.090909090909092
Italy,2025-02-09,3.0303030303030303
Italy,2025-02-16,36.36363636363637
Italy,2025-02-23,12.121212121212121
Italy,2025-03-02,9.090909090909092
Italy,2025-03-09,63.63636363636363
Italy,2025-03-16,27.27272727272727
Italy,2025-03-23,0.0
Italy,2025-03-30,0.0
Italy,2025-04-06,6.0606060606060606
Italy,2025-04-13,21.21212121212121
Italy,2025-04-20,33.33333333333333
Italy,2025-04-27,0.0
Italy,2025-05-04,0.0
Italy,2025-05-11,0.0
Italy,2025-05-18,18.181818181818183
Italy,2025-05-25,3.0303030303030303
Italy,2025-06-01,36.36363636363637
Italy,2025-06-08,100.0
Italy,2025-06-15,48.484848484848484
Italy,2025-06-22,18.181818181818183
Italy,2025-06-29,6.0606060606060606
Italy,2025-07-06,30.303030303030305
Italy,2025-07-13,18.181818181818183
Italy,2025-07-20,6.0606060606060606
Italy,2025-07-27,15.151515151515152
Italy,2025-08-03,24.242424242424242
Italy,2025-08-10,21.21212121212121
Italy,2025-08-17,0.0
Italy,2025-08-24,24.242424242424242
Italy,2025-08-31,24.242424242424242
Italy,2025-09-07,36.36363636363637
Italy,2025-09-14,42.42424242424242
Italy,2025-09-21,69.6969696969697
Italy,2025-09-28,24.242424242424242
Italy,2025-10-05,33.33333333333333
Italy,2025-10-12,24.242424242424242
Italy,2025-10-19,0.0
Italy,2025-10-26,18.181818181818183
Italy,2025-11-02,0.0
Italy,2025-11-09,33.33333333333333
Italy,2025-11-16,12.121212121212121
Italy,2025-11-23,0.0
Italy,2025-11-30,15.151515151515152
Italy,2025-12-07,30.303030303030305
Italy,2025-12-14,18.181818181818183
Italy,2025-12-21,21.21212121212121
Italy,2025-12-28,6.0606060606060606
Poland,2024-12-29,0.0
